Name,Position,Height,Weight,Elig Year,Acad Year,Program,Hometown,Image
Anthony Miller,RB,182.88,205,4,5,Recreation & Leisure,"Brampton, ON",https://images.sidearmdev.com/resize?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fuwaterloo.sidearmsports.com%2fimages%2f2024%2f8%2f19%2fA._Miller.jpg&width=300&type=webp
Anesu Latmore,DB,180.34,190,4,4,Political Science,"Ottawa, ON",https://i.imgur.com/rxwmSpO.png
Keesean Bowen,LB,185.42,225,4,4,Kinesiology,"Toronto, ON",https://images.sidearmdev.com/resize?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fuwaterloo.sidearmsports.com%2fimages%2f2024%2f8%2f19%2fBowen_Keesean.jpg&width=300&type=webp
Isiah Blackson,DB,180.34,162,3,4,Recreation & Leisure,"London, ON",https://images.sidearmdev.com/resize?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fuwaterloo.sidearmsports.com%2fimages%2f2024%2f8%2f19%2fI._Blackson_.jpg&width=300&type=webp
Nick Orr,QB,190.5,222,3,3,Philosophy,"Caledon, ON",https://images.sidearmdev.com/resize?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fuwaterloo.sidearmsports.com%2fimages%2f2024%2f8%2f19%2fOrr_Nick.jpg&width=300&type=webp
Ethan Miller,RB,177.8,201,1,3,Recreation & Sport Business,"Brampton, ON",https://images.sidearmdev.com/resize?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fuwaterloo.sidearmsports.com%2fimages%2f2024%2f8%2f19%2fMiller_Ethan.jpg&width=300&type=webp
Michael Moir,DB,193.04,179,1,1,Recreation & Sport Business,"Georgetown, ON",https://images.sidearmdev.com/resize?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fuwaterloo.sidearmsports.com%2fimages%2f2024%2f8%2f19%2fM._Moir.jpg&width=300&type=webp
Nolan Kaban,QB,187.96,202,4,4,Science & Business,"Calgary, AB",https://images.sidearmdev.com/resize?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fuwaterloo.sidearmsports.com%2fimages%2f2024%2f8%2f19%2fN._Kaban.jpg&width=300&type=webp
Nick Morgado,REC,180.34,168,2,1,Recreation & Sport Business,"Kitchener, ON",https://images.sidearmdev.com/resize?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fuwaterloo.sidearmsports.com%2fimages%2f2024%2f8%2f19%2fN._Morgado.jpg&width=300&type=webp
Austin Dunnill,DB,185.42,176,1,1,Arts,"Vernon, BC",https://images.sidearmdev.com/resize?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fuwaterloo.sidearmsports.com%2fimages%2f2024%2f8%2f19%2fA._Dunnill.jpg&width=300&type=webp
